id, ob_time, src_id, wind_direction, wind_speed, visibility, air_temperature, dewpoint, cld_amt, cld_base_ht, alt_pres
ZBAA, 2013-04-01 00:00,30058,170,4,180,8,4, , ,1014
ZBAA, 2013-04-01 03:00,30058,310,17,1000,14,-4, , ,1016
ZBAA, 2013-04-01 06:00,30058,50,14,1000,14,-2, , ,1017
ZBAA, 2013-04-01 09:00,30058,50,10,1000,15,-6, , ,1018
ZBAA, 2013-04-01 12:00,30058,10,6,1000,8,-10, , ,1021
ZBAA, 2013-04-01 15:00,30058,330,10,1000,9,-18, , ,1023
ZBAA, 2013-04-01 18:00,30058, ,2,1000,4,-12, , ,1023
ZBAA, 2013-04-01 21:00,30058, ,2,1000,-1,-6, , ,1022
ZBAA, 2013-04-02 00:00,30058,60,4,1000,6,-2, , ,1022
ZBAA, 2013-04-02 03:00,30058, ,4,600,13,1, , ,1019
ZBAA, 2013-04-02 06:00,30058,220,10,600,17,-3, , ,1015
ZBAA, 2013-04-02 09:00,30058,210,10,700,18,-5, , ,1012
ZBAA, 2013-04-02 12:00,30058,160,6,700,14,-3, , ,1011
ZBAA, 2013-04-02 15:00,30058, ,2,700,11,-2, , ,1011
ZBAA, 2013-04-02 18:00,30058,80,4,600,5,-1, , ,1010
ZBAA, 2013-04-02 21:00,30058,20,2,600,3,-1, , ,1010
ZBAA, 2013-04-03 00:00,30058,10,4,600,10,1, , ,1012
ZBAA, 2013-04-03 03:00,30058,120,8,700,18,0, , ,1012
ZBAA, 2013-04-03 06:00,30058,120,14,500,18,-1, , ,1012
ZBAA, 2013-04-03 09:00,30058,160,12,1000,16,-4, , ,1012
ZBAA, 2013-04-03 12:00,30058,170,4,1000,11,-4, , ,1015
ZBAA, 2013-04-03 15:00,30058,170,4,1000,8,-4, , ,1016
ZBAA, 2013-04-03 18:00,30058,220,4,1000,9,-4, , ,1015
ZBAA, 2013-04-03 21:00,30058,210,4,1000,8,-4, , ,1014
ZBAA, 2013-04-04 00:00,30058,300,4,1000,10,-4, , ,1015
ZBAA, 2013-04-04 03:00,30058, ,2,1000,11,-5, , ,1015
ZBAA, 2013-04-04 06:00,30058,340,8,1000,11,-5, , ,1013
