id, ob_time, src_id, wind_direction, wind_speed, visibility, air_temperature, dewpoint, cld_amt, cld_base_ht, alt_pres
ZBAA, 2013-05-01 00:00,30058, ,2,1000,17,2, , ,1018
ZBAA, 2013-05-01 03:00,30058,300,4,1000,21,-2, , ,1016
ZBAA, 2013-05-01 06:00,30058, ,4,1000,25,-5, , ,1013
ZBAA, 2013-05-01 09:00,30058,190,12,1000,23,-1, , ,1011
ZBAA, 2013-05-01 12:00,30058,210,6,1000,21,-1, , ,1012
ZBAA, 2013-05-01 15:00,30058,160,6,1000,15,4, , ,1013
ZBAA, 2013-05-01 18:00,30058,130,4,1000,15,1, , ,1013
ZBAA, 2013-05-01 21:00,30058,150,6,1000,14,5, , ,1013
ZBAA, 2013-05-02 00:00,30058,70,4,500,16,6, , ,1015
ZBAA, 2013-05-02 03:00,30058,150,6,1000,21,4, , ,1013
ZBAA, 2013-05-02 06:00,30058,130,6,1000,24,1, , ,1011
ZBAA, 2013-05-02 09:00,30058,120,8,1000,23,3, , ,1008
ZBAA, 2013-05-02 12:00,30058,130,12,1000,19,4, , ,1010
ZBAA, 2013-05-02 15:00,30058,130,12,1000,17,5, , ,1013
ZBAA, 2013-05-02 18:00,30058,80,4,1000,12,9,3,99,1016
ZBAA, 2013-05-02 21:00,30058,10,2,1000,12,9, , ,1017
ZBAA, 2013-05-03 00:00,30058,360,4,1000,16,8, , ,1018
ZBAA, 2013-05-03 03:00,30058, ,4,1000,19,7, , ,1018
ZBAA, 2013-05-03 06:00,30058,220,6,1000,22,5, , ,1016
ZBAA, 2013-05-03 09:00,30058,170,8,1000,22,4, , ,1015
ZBAA, 2013-05-03 12:00,30058,200,6,1000,19,6, , ,1016
ZBAA, 2013-05-03 15:00,30058,160,4,1000,16,7, , ,1017
ZBAA, 2013-05-03 18:00,30058,150,4,1000,14,7, , ,1017
ZBAA, 2013-05-03 21:00,30058,140,6,800,13,7, , ,1017
ZBAA, 2013-05-04 00:00,30058,180,4,500,16,10, , ,1018
ZBAA, 2013-05-04 03:00,30058,190,14,500,23,9, , ,1017
ZBAA, 2013-05-04 06:00,30058,170,14,1000,24,3, , ,1015
ZBAA, 2013-05-04 09:00,30058,210,12,1000,25,-1, , ,1014
ZBAA, 2013-05-04 12:00,30058,190,6,1000,21,3, , ,1015
ZBAA, 2013-05-04 15:00,30058,100,4,700,17,8, , ,1016
ZBAA, 2013-05-04 18:00,30058,100,4,600,15,9, , ,1016
ZBAA, 2013-05-04 21:00,30058,60,2,600,12,9, , ,1017
ZBAA, 2013-05-05 00:00,30058,80,4,600,17,8, , ,1018
ZBAA, 2013-05-05 03:00,30058, ,2,350,23,11, , ,1018
ZBAA, 2013-05-05 06:00,30058,170,6,400,27,11, , ,1016
ZBAA, 2013-05-05 09:00,30058,190,8,350,27,13, , ,1013
ZBAA, 2013-05-05 12:00,30058,180,6,500,22,14, , ,1014
ZBAA, 2013-05-05 15:00,30058, ,2,600,19,15, , ,1015
ZBAA, 2013-05-05 18:00,30058, ,2,350,17,15, , ,1015
ZBAA, 2013-05-05 21:00,30058, ,2,230,15,14, , ,1015
ZBAA, 2013-05-06 00:00,30058, ,2,160,20,15, , ,1016
ZBAA, 2013-05-06 03:00,30058, ,2,230,26,16, , ,1015
ZBAA, 2013-05-06 06:00,30058,200,8,250,30,11, , ,1013
ZBAA, 2013-05-06 09:00,30058,190,10,1000,30,7, , ,1012
ZBAA, 2013-05-06 12:00,30058,160,4,800,25,10, , ,1013
ZBAA, 2013-05-06 15:00,30058,0,0,600,19,14, , ,1014
ZBAA, 2013-05-06 18:00,30058, ,2,600,18,14, , ,1014
ZBAA, 2013-05-06 21:00,30058, ,2,400,15,13, , ,1015
ZBAA, 2013-05-07 00:00,30058, ,2,320,20,14, , ,1016
ZBAA, 2013-05-07 03:00,30058,130,4,300,25,16, , ,1017
ZBAA, 2013-05-07 06:00,30058,180,6,600,29,13, , ,1014
ZBAA, 2013-05-07 09:00,30058,150,6,700,28,13, , ,1013
ZBAA, 2013-05-07 12:00,30058,140,8,500,26,12, , ,1013
ZBAA, 2013-05-07 15:00,30058,120,6,400,21,11, , ,1014
ZBAA, 2013-05-07 18:00,30058,110,4,600,19,10, , ,1014
ZBAA, 2013-05-07 21:00,30058,120,4,500,16,10, , ,1014
ZBAA, 2013-05-08 00:00,30058,110,6,600,20,10, , ,1015
ZBAA, 2013-05-08 03:00,30058,160,8,700,22,10, , ,1015
ZBAA, 2013-05-08 06:00,30058,140,10,400,22,13, , ,1014
ZBAA, 2013-05-08 09:00,30058,210,6,700,23,13, , ,1012
ZBAA, 2013-05-08 12:00,30058,190,4,800,21,12, , ,1012
ZBAA, 2013-05-08 15:00,30058,240,8,1000,20,10, , ,1013
ZBAA, 2013-05-08 18:00,30058,190,4,1000,18,11, , ,1011
ZBAA, 2013-05-08 21:00,30058,150,4,1000,17,12, , ,1011
ZBAA, 2013-05-09 00:00,30058,150,8,1000,17,11, , ,1011
ZBAA, 2013-05-09 03:00,30058,130,8,1000,18,12, , ,1011
ZBAA, 2013-05-09 06:00,30058,170,6,1000,20,11, , ,1009
ZBAA, 2013-05-09 09:00,30058,160,4,1000,19,12, , ,1007
ZBAA, 2013-05-09 12:00,30058,160,4,1000,16,12, , ,1008
ZBAA, 2013-05-09 15:00,30058, ,2,1000,14,12, , ,1008
ZBAA, 2013-05-09 18:00,30058, ,2,700,11,10, , ,1005
ZBAA, 2013-05-09 21:00,30058, ,2,300,9,9, , ,1003
ZBAA, 2013-05-10 00:00,30058, ,4,400,16,13, , ,1003
ZBAA, 2013-05-10 03:00,30058,320,23,1000,27,-3, , ,1002
ZBAA, 2013-05-10 06:00,30058,290,12,1000,30,-3, , ,1000
ZBAA, 2013-05-10 09:00,30058,320,10,1000,31,-9, , ,998
ZBAA, 2013-05-10 12:00,30058,210,12,1000,27,-3, , ,999
ZBAA, 2013-05-10 15:00,30058,230,8,1000,24,2, , ,999
ZBAA, 2013-05-10 18:00,30058, ,2,1000,14,8, , ,997
ZBAA, 2013-05-10 21:00,30058, ,2,1000,11,6, , ,996
ZBAA, 2013-05-11 00:00,30058, ,2,1000,21,8, , ,995
ZBAA, 2013-05-11 03:00,30058,300,10,1000,31,-3, , ,994
ZBAA, 2013-05-11 06:00,30058,320,17,1000,34,-14, , ,993
ZBAA, 2013-05-11 09:00,30058,350,10,1000,33,-9, , ,993
ZBAA, 2013-05-11 12:00,30058,10,6,1000,21,-7, , ,995
ZBAA, 2013-05-11 15:00,30058,20,4,1000,16,0, , ,997
ZBAA, 2013-05-11 18:00,30058, ,2,1000,14,3, , ,998
ZBAA, 2013-05-11 21:00,30058,350,4,1000,13,-4, , ,999
ZBAA, 2013-05-12 00:00,30058,20,12,1000,21,-9, , ,1000
ZBAA, 2013-05-12 03:00,30058, ,4,1000,26,-6, , ,1001
ZBAA, 2013-05-12 06:00,30058, ,6,1000,29,-8, , ,999
ZBAA, 2013-05-12 09:00,30058,140,4,1000,28,-5, , ,999
ZBAA, 2013-05-12 12:00,30058,160,8,1000,24,-3, , ,1000
ZBAA, 2013-05-12 15:00,30058,140,2,1000,19,-1, , ,1002
ZBAA, 2013-05-12 18:00,30058, ,2,1000,17,6, , ,1003
ZBAA, 2013-05-12 21:00,30058,360,4,1000,12,5, , ,1002
ZBAA, 2013-05-13 00:00,30058,360,4,1000,20,4, , ,1004
ZBAA, 2013-05-13 03:00,30058, ,2,1000,24,-1, , ,1004
ZBAA, 2013-05-13 06:00,30058,120,4,1000,27,6, , ,1000
ZBAA, 2013-05-13 09:00,30058,160,6,800,25,7, , ,999
ZBAA, 2013-05-13 12:00,30058,130,4,800,21,11, , ,1000
ZBAA, 2013-05-13 15:00,30058,110,2,800,18,13, , ,1003
ZBAA, 2013-05-13 18:00,30058,350,4,700,15,12, , ,1005
ZBAA, 2013-05-13 21:00,30058,330,12,1000,21,-5, , ,1006
ZBAA, 2013-05-14 00:00,30058,330,14,1000,24,-1, , ,1008
ZBAA, 2013-05-14 03:00,30058,360,6,1000,27,-1, , ,1009
ZBAA, 2013-05-14 06:00,30058, ,4,1000,31,1, , ,1007
ZBAA, 2013-05-14 09:00,30058, ,2,1000,30,1, , ,1007
ZBAA, 2013-05-14 12:00,30058,220,6,1000,27,-1, , ,1009
ZBAA, 2013-05-14 15:00,30058,60,4,1000,20,7, , ,1011
ZBAA, 2013-05-14 18:00,30058,40,2,1000,16,7, , ,1014
ZBAA, 2013-05-14 21:00,30058,60,4,1000,15,8, , ,1016
ZBAA, 2013-05-15 00:00,30058,120,6,1000,21,5, , ,1018
ZBAA, 2013-05-15 03:00,30058, ,4,1000,25,5, , ,1018
ZBAA, 2013-05-15 06:00,30058,160,6,1000,28,5, , ,1015
ZBAA, 2013-05-15 09:00,30058,160,8,1000,27,6, , ,1014
ZBAA, 2013-05-15 12:00,30058,140,6,1000,22,8, , ,1015
ZBAA, 2013-05-15 15:00,30058,100,4,1000,18,10, , ,1018
ZBAA, 2013-05-15 18:00,30058,90,4,1000,16,9, , ,1018
ZBAA, 2013-05-15 21:00,30058,0,0,1000,13,9, , ,1018
ZBAA, 2013-05-16 00:00,30058, ,2,1000,20,10, , ,1019
ZBAA, 2013-05-16 03:00,30058, ,4,1000,24,8, , ,1018
ZBAA, 2013-05-16 06:00,30058,150,6,1000,26,8, , ,1016
ZBAA, 2013-05-16 09:00,30058,140,8,1000,25,9, , ,1014
ZBAA, 2013-05-16 12:00,30058,150,8,1000,22,12, , ,1014
ZBAA, 2013-05-16 15:00,30058,130,8,1000,19,11, , ,1015
ZBAA, 2013-05-16 18:00,30058, ,2,700,18,11, , ,1014
ZBAA, 2013-05-16 21:00,30058, ,2,600,16,11, , ,1013
ZBAA, 2013-05-17 00:00,30058,140,6,500,18,12, , ,1013
ZBAA, 2013-05-17 03:00,30058,100,4,400,20,12, , ,1013
ZBAA, 2013-05-17 06:00,30058,100,4,400,24,12, , ,1010
ZBAA, 2013-05-17 09:00,30058,180,8,700,25,12, , ,1009
ZBAA, 2013-05-17 12:00,30058,140,6,600,22,15, , ,1009
ZBAA, 2013-05-17 15:00,30058,110,4,500,20,14, , ,1009
ZBAA, 2013-05-17 18:00,30058,120,4,500,18,14, , ,1009
ZBAA, 2013-05-17 21:00,30058,100,4,400,17,13, , ,1008
ZBAA, 2013-05-18 00:00,30058,180,8,250,20,15, , ,1008
ZBAA, 2013-05-18 03:00,30058,200,10,300,23,15, , ,1007
ZBAA, 2013-05-18 06:00,30058,190,10,700,24,13,3,120,1005
ZBAA, 2013-05-18 09:00,30058,170,10,700,23,13, , ,1003
ZBAA, 2013-05-18 12:00,30058,150,10,1000,21,13, , ,1004
ZBAA, 2013-05-18 15:00,30058, ,8,1000,18,13, , ,1005
ZBAA, 2013-05-18 18:00,30058,110,8,1000,17,12, , ,1002
ZBAA, 2013-05-18 21:00,30058,120,8,700,16,13, , ,1001
ZBAA, 2013-05-19 00:00,30058,130,6,400,17,14,3,78,999
ZBAA, 2013-05-19 03:00,30058,10,10,450,17,13,1,78,999
ZBAA, 2013-05-19 06:00,30058,320,23,1000,28,-18, , ,998
ZBAA, 2013-05-19 09:00,30058,310,27,1000,26,-16, , ,998
ZBAA, 2013-05-19 12:00,30058,350,19,1000,22,-9, , ,1002
ZBAA, 2013-05-19 15:00,30058,50,8,1000,18,-7, , ,1004
ZBAA, 2013-05-19 18:00,30058, ,2,1000,12,0, , ,1003
ZBAA, 2013-05-19 21:00,30058,170,4,1000,10,1, , ,1003
ZBAA, 2013-05-20 00:00,30058,240,8,1000,22,-6, , ,1004
ZBAA, 2013-05-20 03:00,30058,210,10,1000,26,-8, , ,1002
ZBAA, 2013-05-20 06:00,30058,210,14,1000,29,-4, , ,999
ZBAA, 2013-05-20 09:00,30058,190,16,1000,27,-3, , ,997
ZBAA, 2013-05-20 12:00,30058,190,8,1000,24,0, , ,997
ZBAA, 2013-05-20 15:00,30058,140,6,1000,21,4, , ,997
ZBAA, 2013-05-20 18:00,30058,100,4,1000,19,6, , ,996
ZBAA, 2013-05-20 21:00,30058, ,2,1000,17,7, , ,996
ZBAA, 2013-05-21 00:00,30058,80,4,1000,21,10, , ,998
ZBAA, 2013-05-21 03:00,30058,90,4,1000,26,7, , ,998
ZBAA, 2013-05-21 06:00,30058,110,8,800,28,12, , ,998
ZBAA, 2013-05-21 09:00,30058,120,4,800,29,11, , ,999
ZBAA, 2013-05-21 12:00,30058,110,4,800,23,14, , ,1002
ZBAA, 2013-05-21 15:00,30058,170,4,1000,21,5, , ,1006
