id, ob_time, src_id, wind_direction, wind_speed, visibility, air_temperature, dewpoint, cld_amt, cld_base_ht, alt_pres
ZBAA, 2013-03-01 00:00,30058,20,8,1000,-2,-22, , ,1033
ZBAA, 2013-03-01 03:00,30058,350,8,1000,2,-25, , ,1034
ZBAA, 2013-03-01 06:00,30058,30,8,1000,4,-25, , ,1032
ZBAA, 2013-03-01 09:00,30058,360,10,1000,5,-24, , ,1032
ZBAA, 2013-03-01 12:00,30058,30,8,1000,2,-23, , ,1034
ZBAA, 2013-03-01 15:00,30058,40,6,1000,0,-19, , ,1036
ZBAA, 2013-03-01 18:00,30058,20,2,1000,-2,-18, , ,1037
ZBAA, 2013-03-01 21:00,30058,330,6,1000,-3,-16, , ,1036
ZBAA, 2013-03-02 00:00,30058,350,6,1000,-2,-16, , ,1035
ZBAA, 2013-03-02 03:00,30058, ,2,1000,2,-19, , ,1035
ZBAA, 2013-03-02 06:00,30058,80,4,1000,3,-18, , ,1032
ZBAA, 2013-03-02 09:00,30058,160,4,1000,4,-19, , ,1029
ZBAA, 2013-03-02 12:00,30058,70,4,1000,1,-16, , ,1029
ZBAA, 2013-03-02 15:00,30058, ,2,1000,-1,-14, , ,1028
ZBAA, 2013-03-02 18:00,30058,350,2,800,-3,-11, , ,1025
ZBAA, 2013-03-02 21:00,30058,350,2,800,-6,-12, , ,1023
ZBAA, 2013-03-03 00:00,30058,350,6,800,-2,-8, , ,1022
ZBAA, 2013-03-03 03:00,30058,330,4,1000,5,-14, , ,1021
ZBAA, 2013-03-03 06:00,30058,280,10,1000,15,-18, , ,1017
ZBAA, 2013-03-03 09:00,30058,30,6,1000,15,-17, , ,1016
ZBAA, 2013-03-03 12:00,30058, ,2,1000,6,-13, , ,1019
ZBAA, 2013-03-03 15:00,30058, ,2,1000,3,-10, , ,1020
ZBAA, 2013-03-03 18:00,30058,320,14,1000,8,-13, , ,1022
ZBAA, 2013-03-03 21:00,30058,20,4,1000,1,-12, , ,1023
ZBAA, 2013-03-04 00:00,30058,340,8,1000,7,-13, , ,1026
ZBAA, 2013-03-04 03:00,30058,360,6,1000,12,-17, , ,1026
ZBAA, 2013-03-04 06:00,30058,320,8,1000,16,-20, , ,1023
ZBAA, 2013-03-04 09:00,30058,210,10,1000,14,-18, , ,1021
ZBAA, 2013-03-04 12:00,30058,190,6,1000,8,-15, , ,1022
ZBAA, 2013-03-04 15:00,30058,200,10,1000,8,-13, , ,1022
ZBAA, 2013-03-04 18:00,30058, ,2,1000,3,-11, , ,1020
ZBAA, 2013-03-04 21:00,30058, ,2,1000,0,-9, , ,1019
ZBAA, 2013-03-05 00:00,30058, ,2,1000,1,-6, , ,1019
ZBAA, 2013-03-05 03:00,30058, ,2,700,9,-8, , ,1018
ZBAA, 2013-03-05 06:00,30058, ,4,800,13,-10, , ,1014
ZBAA, 2013-03-05 09:00,30058,90,4,700,13,-8, , ,1013
ZBAA, 2013-03-05 12:00,30058, ,2,600,7,-6, , ,1014
ZBAA, 2013-03-05 15:00,30058,350,4,500,4,-6, , ,1014
ZBAA, 2013-03-05 18:00,30058,340,4,500,3,-6, , ,1014
ZBAA, 2013-03-05 21:00,30058,350,6,700,2,-6, , ,1013
ZBAA, 2013-03-06 00:00,30058,360,6,700,4,-5, , ,1015
ZBAA, 2013-03-06 03:00,30058,330,6,500,9,-6, , ,1014
ZBAA, 2013-03-06 06:00,30058, ,2,400,12,-6, , ,1011
ZBAA, 2013-03-06 09:00,30058, ,2,300,13,-5, , ,1011
ZBAA, 2013-03-06 12:00,30058, ,2,350,5,-3, , ,1013
ZBAA, 2013-03-06 15:00,30058, ,2,280,1,-4, , ,1013
ZBAA, 2013-03-06 18:00,30058,360,2,250,-1,-4, , ,1013
ZBAA, 2013-03-06 21:00,30058,0,0,250,-2,-5, , ,1012
ZBAA, 2013-03-07 00:00,30058,150,2,250,2,-1, , ,1012
ZBAA, 2013-03-07 03:00,30058, ,2,270,10,-3, , ,1011
ZBAA, 2013-03-07 06:00,30058, ,6,300,18,-5, , ,1006
ZBAA, 2013-03-07 09:00,30058,110,4,270,17,-2, , ,1003
ZBAA, 2013-03-07 12:00,30058,30,4,200,8,0, , ,1003
ZBAA, 2013-03-07 15:00,30058,0,0,220,7,0, , ,1004
ZBAA, 2013-03-07 18:00,30058,350,6,280,4,-2, , ,1004
ZBAA, 2013-03-07 21:00,30058, ,2,280,2,-2, , ,1004
ZBAA, 2013-03-08 00:00,30058, ,2,300,7,0, , ,1006
ZBAA, 2013-03-08 03:00,30058,130,4,350,18,-4, , ,1006
ZBAA, 2013-03-08 06:00,30058,130,16,180,17,0, , ,1005
ZBAA, 2013-03-08 09:00,30058,130,10,600,11,-1, , ,1006
ZBAA, 2013-03-08 12:00,30058,140,6,800,8,-2, , ,1006
ZBAA, 2013-03-08 15:00,30058,190,6,1000,4,-4, , ,1005
ZBAA, 2013-03-08 18:00,30058,180,2,1000,1,-4, , ,1001
ZBAA, 2013-03-08 21:00,30058, ,2,1000,2,-3, , ,997
ZBAA, 2013-03-09 00:00,30058,350,6,600,4,-2, , ,999
ZBAA, 2013-03-09 03:00,30058,350,33,1000,18,-11, , ,1004
